date,CPI level,city
2018-01-01,97.2352935868,COBIJA
2018-02-01,97.8296475378,COBIJA
2018-03-01,98.9716067136,COBIJA
2018-04-01,98.8843861761,COBIJA
2018-05-01,99.0922023054,COBIJA
2018-06-01,99.4574136257,COBIJA
2018-07-01,99.5654526076,COBIJA
2018-08-01,100.0160469089,COBIJA
2018-09-01,99.9585360318,COBIJA
2018-10-01,99.332933884,COBIJA
2018-11-01,99.845800945,COBIJA
2018-12-01,99.8551961402,COBIJA
2019-01-01,100.0527774923,COBIJA
2019-02-01,100.2398599871,COBIJA
2019-03-01,100.4649543218,COBIJA
2019-04-01,100.6707227609,COBIJA
2019-05-01,100.7177579156,COBIJA
2019-06-01,100.6629377625,COBIJA
2019-07-01,100.7777804669,COBIJA
2019-08-01,100.8528097169,COBIJA
2019-09-01,100.8048050139,COBIJA
2019-10-01,100.763099098,COBIJA
2019-11-01,101.4406080246,COBIJA
2019-12-01,101.3019350058,COBIJA
2020-01-01,101.4235598252,COBIJA
2020-02-01,101.5001529289,COBIJA
2020-03-01,102.0014707612,COBIJA
2020-04-01,103.4181223201,COBIJA
2020-05-01,103.5217966459,COBIJA
2020-06-01,103.6913953256,COBIJA
2020-07-01,103.3400835359,COBIJA
2020-08-01,102.8321152866,COBIJA
2020-09-01,102.9885040718,COBIJA
2020-10-01,102.7705543644,COBIJA
2020-11-01,102.8070176479,COBIJA
2020-12-01,102.7470117434,COBIJA
2021-01-01,103.4596131014,COBIJA
2021-02-01,104.1142745062,COBIJA
2021-03-01,105.0238328628,COBIJA
2021-04-01,105.2119987482,COBIJA
2021-05-01,104.8653505034,COBIJA
2021-06-01,105.0719171467,COBIJA
2021-07-01,105.503189,COBIJA
2021-08-01,105.4438210141,COBIJA
2021-09-01,105.940232166,COBIJA
2021-10-01,106.9828891153,COBIJA
2021-11-01,107.0119937524,COBIJA
2021-12-01,106.8664643941,COBIJA
2022-01-01,107.0447076361,COBIJA
2022-02-01,106.9297813722,COBIJA
2022-03-01,107.2220938679,COBIJA
2022-04-01,107.6418822365,COBIJA
2022-05-01,107.647943808,COBIJA
2022-06-01,107.3592251458,COBIJA
2022-07-01,107.4845666479,COBIJA
2022-08-01,107.4336600201,COBIJA
2022-09-01,107.7621982305,COBIJA
2022-10-01,107.9585054278,COBIJA
2022-11-01,108.1034865,COBIJA
2022-12-01,108.5005651993,COBIJA
2023-01-01,108.9275746799,COBIJA
2023-02-01,109.4109279461,COBIJA
2023-03-01,108.9060297958,COBIJA
2023-04-01,108.9707509782,COBIJA
2023-05-01,108.659407155,COBIJA
2023-06-01,109.058022013,COBIJA
2023-07-01,109.1452962,COBIJA
2023-08-01,109.0521514364,COBIJA
2023-09-01,109.1138611258,COBIJA
2023-10-01,108.5768444081,COBIJA
2023-11-01,108.8319966,COBIJA
2023-12-01,108.8622648614,COBIJA
2024-01-01,108.8191723382,COBIJA
2024-02-01,109.0000244,COBIJA
2024-03-01,111.0226110141,COBIJA
2024-04-01,111.7802791235,COBIJA
2024-05-01,112.0659626527,COBIJA
2024-06-01,112.838758732,COBIJA
2024-07-01,112.9571567675,COBIJA
2024-08-01,115.4391690656,COBIJA
2024-09-01,116.967878145,COBIJA
2024-10-01,118.0683110333,COBIJA
2024-11-01,120.8301850694,COBIJA
2024-12-01,123.8740512619,COBIJA
2025-01-01,124.9408220249,COBIJA
2025-02-01,125.924455629,COBIJA
2025-03-01,128.1492775835,COBIJA
2025-04-01,129.5506750026,COBIJA
2025-05-01,135.301612344,COBIJA
2025-06-01,144.4684172313,COBIJA
2025-07-01,148.0561144668,COBIJA
2025-08-01,148.0341100703,COBIJA
2025-09-01,148.4330333527,COBIJA
2025-10-01,147.090093323,COBIJA
2025-11-01,146.6001600954,COBIJA
2025-12-01,146.5834711294,COBIJA
2026-01-01,148.6624792562,COBIJA
2026-02-01,149.214925594,COBIJA
2026-03-01,149.1042636144,COBIJA
2026-04-01,149.0642580735,COBIJA
2026-05-01,150.623754998,COBIJA
2018-01-01,102.1480013764,CONURBACIÓN LA PAZ
2018-02-01,102.5608327051,CONURBACIÓN LA PAZ
2018-03-01,102.3388251652,CONURBACIÓN LA PAZ
2018-04-01,102.2357493402,CONURBACIÓN LA PAZ
2018-05-01,102.4450319211,CONURBACIÓN LA PAZ
2018-06-01,102.6236278764,CONURBACIÓN LA PAZ
2018-07-01,102.7027025383,CONURBACIÓN LA PAZ
2018-08-01,102.9404968979,CONURBACIÓN LA PAZ
2018-09-01,102.9615341276,CONURBACIÓN LA PAZ
2018-10-01,103.0880435192,CONURBACIÓN LA PAZ
2018-11-01,103.4170193159,CONURBACIÓN LA PAZ
2018-12-01,103.7301368468,CONURBACIÓN LA PAZ
2019-01-01,103.9552504593,CONURBACIÓN LA PAZ
2019-02-01,103.8609285074,CONURBACIÓN LA PAZ
2019-03-01,103.8078468432,CONURBACIÓN LA PAZ
2019-04-01,103.8180240651,CONURBACIÓN LA PAZ
2019-05-01,104.2775180073,CONURBACIÓN LA PAZ
2019-06-01,104.4473153935,CONURBACIÓN LA PAZ
2019-07-01,104.6373806681,CONURBACIÓN LA PAZ
2019-08-01,104.9354343528,CONURBACIÓN LA PAZ
2019-09-01,105.0659737688,CONURBACIÓN LA PAZ
2019-10-01,105.3428279596,CONURBACIÓN LA PAZ
2019-11-01,107.9631974245,CONURBACIÓN LA PAZ
2019-12-01,105.9826806574,CONURBACIÓN LA PAZ
2020-01-01,105.8952789022,CONURBACIÓN LA PAZ
2020-02-01,105.6197291556,CONURBACIÓN LA PAZ
2020-03-01,105.8183224968,CONURBACIÓN LA PAZ
2020-04-01,106.2013590909,CONURBACIÓN LA PAZ
2020-05-01,105.9390796162,CONURBACIÓN LA PAZ
2020-06-01,106.6092607507,CONURBACIÓN LA PAZ
2020-07-01,106.9883719475,CONURBACIÓN LA PAZ
2020-08-01,108.5328539919,CONURBACIÓN LA PAZ
2020-09-01,106.971443282,CONURBACIÓN LA PAZ
2020-10-01,106.9915977299,CONURBACIÓN LA PAZ
2020-11-01,106.6030120331,CONURBACIÓN LA PAZ
2020-12-01,106.8146713069,CONURBACIÓN LA PAZ
2021-01-01,107.1397927615,CONURBACIÓN LA PAZ
2021-02-01,107.3171347838,CONURBACIÓN LA PAZ
2021-03-01,107.1939494268,CONURBACIÓN LA PAZ
2021-04-01,107.1507561166,CONURBACIÓN LA PAZ
2021-05-01,106.8693104298,CONURBACIÓN LA PAZ
2021-06-01,106.9095372739,CONURBACIÓN LA PAZ
2021-07-01,107.0199302,CONURBACIÓN LA PAZ
2021-08-01,107.5188336672,CONURBACIÓN LA PAZ
2021-09-01,107.4714257925,CONURBACIÓN LA PAZ
2021-10-01,107.4271970204,CONURBACIÓN LA PAZ
2021-11-01,107.5247209781,CONURBACIÓN LA PAZ
2021-12-01,107.8155968897,CONURBACIÓN LA PAZ
2022-01-01,107.9115448652,CONURBACIÓN LA PAZ
2022-02-01,108.042197693,CONURBACIÓN LA PAZ
2022-03-01,108.1107431268,CONURBACIÓN LA PAZ
2022-04-01,108.218895618,CONURBACIÓN LA PAZ
2022-05-01,108.4411258216,CONURBACIÓN LA PAZ
2022-06-01,108.8157244745,CONURBACIÓN LA PAZ
2022-07-01,109.3101600134,CONURBACIÓN LA PAZ
2022-08-01,109.4181035756,CONURBACIÓN LA PAZ
2022-09-01,109.4737881076,CONURBACIÓN LA PAZ
2022-10-01,110.015993795,CONURBACIÓN LA PAZ
2022-11-01,110.5776181,CONURBACIÓN LA PAZ
2022-12-01,110.74633217,CONURBACIÓN LA PAZ
2023-01-01,111.4043369617,CONURBACIÓN LA PAZ
