date,CPI level,city,category
2018-01-01,95.0849136412,COBIJA,Alimentos y bebidas consumidos fuera del hogar
2018-02-01,95.2767842909,COBIJA,Alimentos y bebidas consumidos fuera del hogar
2018-03-01,96.2415194249,COBIJA,Alimentos y bebidas consumidos fuera del hogar
2018-04-01,96.2467276835,COBIJA,Alimentos y bebidas consumidos fuera del hogar
2018-05-01,96.8104291002,COBIJA,Alimentos y bebidas consumidos fuera del hogar
2018-06-01,97.4020822478,COBIJA,Alimentos y bebidas consumidos fuera del hogar
2018-07-01,97.6563500787,COBIJA,Alimentos y bebidas consumidos fuera del hogar
2018-08-01,97.8060899215,COBIJA,Alimentos y bebidas consumidos fuera del hogar
2018-09-01,98.1445446903,COBIJA,Alimentos y bebidas consumidos fuera del hogar
2018-10-01,97.6471386059,COBIJA,Alimentos y bebidas consumidos fuera del hogar
2018-11-01,99.1717623756,COBIJA,Alimentos y bebidas consumidos fuera del hogar
2018-12-01,100.8156469418,COBIJA,Alimentos y bebidas consumidos fuera del hogar
2019-01-01,101.1971046656,COBIJA,Alimentos y bebidas consumidos fuera del hogar
2019-02-01,102.6265649707,COBIJA,Alimentos y bebidas consumidos fuera del hogar
2019-03-01,102.7921357531,COBIJA,Alimentos y bebidas consumidos fuera del hogar
2019-04-01,103.2833925343,COBIJA,Alimentos y bebidas consumidos fuera del hogar
2019-05-01,102.6566747462,COBIJA,Alimentos y bebidas consumidos fuera del hogar
2019-06-01,102.6292075526,COBIJA,Alimentos y bebidas consumidos fuera del hogar
2019-07-01,103.9161868438,COBIJA,Alimentos y bebidas consumidos fuera del hogar
2019-08-01,103.9630977451,COBIJA,Alimentos y bebidas consumidos fuera del hogar
2019-09-01,104.4030475466,COBIJA,Alimentos y bebidas consumidos fuera del hogar
2019-10-01,104.5535434951,COBIJA,Alimentos y bebidas consumidos fuera del hogar
2019-11-01,105.9459599235,COBIJA,Alimentos y bebidas consumidos fuera del hogar
2019-12-01,105.6966179575,COBIJA,Alimentos y bebidas consumidos fuera del hogar
2020-01-01,105.4751159516,COBIJA,Alimentos y bebidas consumidos fuera del hogar
2020-02-01,106.5419932524,COBIJA,Alimentos y bebidas consumidos fuera del hogar
2020-03-01,106.658253071,COBIJA,Alimentos y bebidas consumidos fuera del hogar
2020-04-01,106.9404279807,COBIJA,Alimentos y bebidas consumidos fuera del hogar
2020-05-01,107.0302312207,COBIJA,Alimentos y bebidas consumidos fuera del hogar
2020-06-01,106.9571840399,COBIJA,Alimentos y bebidas consumidos fuera del hogar
2020-07-01,107.4810951927,COBIJA,Alimentos y bebidas consumidos fuera del hogar
2020-08-01,107.3507013852,COBIJA,Alimentos y bebidas consumidos fuera del hogar
2020-09-01,109.4537692054,COBIJA,Alimentos y bebidas consumidos fuera del hogar
2020-10-01,109.4301428287,COBIJA,Alimentos y bebidas consumidos fuera del hogar
2020-11-01,109.198439402,COBIJA,Alimentos y bebidas consumidos fuera del hogar
2020-12-01,109.3713767604,COBIJA,Alimentos y bebidas consumidos fuera del hogar
2021-01-01,111.3043463018,COBIJA,Alimentos y bebidas consumidos fuera del hogar
2021-02-01,111.2713636792,COBIJA,Alimentos y bebidas consumidos fuera del hogar
2021-03-01,111.5622305478,COBIJA,Alimentos y bebidas consumidos fuera del hogar
2021-04-01,111.9603241829,COBIJA,Alimentos y bebidas consumidos fuera del hogar
2021-05-01,112.3268029898,COBIJA,Alimentos y bebidas consumidos fuera del hogar
2021-06-01,113.0438413375,COBIJA,Alimentos y bebidas consumidos fuera del hogar
2021-07-01,113.5685872,COBIJA,Alimentos y bebidas consumidos fuera del hogar
2021-08-01,114.0921847237,COBIJA,Alimentos y bebidas consumidos fuera del hogar
2021-09-01,114.9654840173,COBIJA,Alimentos y bebidas consumidos fuera del hogar
2021-10-01,116.048322354,COBIJA,Alimentos y bebidas consumidos fuera del hogar
2021-11-01,116.421189045,COBIJA,Alimentos y bebidas consumidos fuera del hogar
2021-12-01,116.4982140325,COBIJA,Alimentos y bebidas consumidos fuera del hogar
2022-01-01,116.482933754,COBIJA,Alimentos y bebidas consumidos fuera del hogar
2022-02-01,116.4388717871,COBIJA,Alimentos y bebidas consumidos fuera del hogar
2022-03-01,116.5213875401,COBIJA,Alimentos y bebidas consumidos fuera del hogar
2022-04-01,116.4892310823,COBIJA,Alimentos y bebidas consumidos fuera del hogar
2022-05-01,117.2866968628,COBIJA,Alimentos y bebidas consumidos fuera del hogar
2022-06-01,117.1977523409,COBIJA,Alimentos y bebidas consumidos fuera del hogar
2022-07-01,118.0814666406,COBIJA,Alimentos y bebidas consumidos fuera del hogar
2022-08-01,118.0937819495,COBIJA,Alimentos y bebidas consumidos fuera del hogar
2022-09-01,118.9943120126,COBIJA,Alimentos y bebidas consumidos fuera del hogar
2022-10-01,119.6759466565,COBIJA,Alimentos y bebidas consumidos fuera del hogar
2022-11-01,120.1882602,COBIJA,Alimentos y bebidas consumidos fuera del hogar
2022-12-01,121.0980544378,COBIJA,Alimentos y bebidas consumidos fuera del hogar
2023-01-01,120.3454540961,COBIJA,Alimentos y bebidas consumidos fuera del hogar
2023-02-01,120.681067862,COBIJA,Alimentos y bebidas consumidos fuera del hogar
2023-03-01,120.1120572785,COBIJA,Alimentos y bebidas consumidos fuera del hogar
2023-04-01,120.3350780018,COBIJA,Alimentos y bebidas consumidos fuera del hogar
2023-05-01,119.3084012686,COBIJA,Alimentos y bebidas consumidos fuera del hogar
2023-06-01,120.0058581144,COBIJA,Alimentos y bebidas consumidos fuera del hogar
2023-07-01,120.0670023,COBIJA,Alimentos y bebidas consumidos fuera del hogar
2023-08-01,120.1710470557,COBIJA,Alimentos y bebidas consumidos fuera del hogar
2023-09-01,120.7070976786,COBIJA,Alimentos y bebidas consumidos fuera del hogar
2023-10-01,120.0068279807,COBIJA,Alimentos y bebidas consumidos fuera del hogar
2023-11-01,120.2187141,COBIJA,Alimentos y bebidas consumidos fuera del hogar
2023-12-01,121.4055654928,COBIJA,Alimentos y bebidas consumidos fuera del hogar
2024-01-01,121.4955249329,COBIJA,Alimentos y bebidas consumidos fuera del hogar
