date,CPI level
2018-01-01,101.1676158287
2018-02-01,101.49050476250004
2018-03-01,101.36092937770003
2018-04-01,101.21660397120003
2018-05-01,101.33528371439999
2018-06-01,101.45493380509998
2018-07-01,101.4971130225
2018-08-01,101.6717823647
2018-09-01,101.5841222589
2018-10-01,101.7630203151
2018-11-01,102.0271876513
2018-12-01,102.3802715508
2019-01-01,102.611932635
2019-02-01,102.4555416028
2019-03-01,102.4380856499
2019-04-01,102.5816680957
2019-05-01,103.0489999478
2019-06-01,103.2098980664
2019-07-01,103.4439151119
2019-08-01,103.9627570334
2019-09-01,103.8780952965
2019-10-01,104.3453914995
2019-11-01,105.5086925667
2019-12-01,103.8842828752
2020-01-01,103.853437152
2020-02-01,103.7884570992
2020-03-01,103.9084672002
2020-04-01,104.341275313
2020-05-01,104.3157176546
2020-06-01,104.693147682
2020-07-01,104.836411163
2020-08-01,105.4062357263
2020-09-01,104.3524559941
2020-10-01,104.6330769703
2020-11-01,104.3521594822
2020-12-01,104.5807979129
2021-01-01,105.0705436217
2021-02-01,105.2407868792
2021-03-01,105.115719769
2021-04-01,105.0484912279
2021-05-01,104.8753807081
2021-06-01,104.8890668935
2021-07-01,105.0450102
2021-08-01,105.5928891968
2021-09-01,105.3861152076
2021-10-01,105.1485213624
2021-11-01,105.3525568253
2021-12-01,105.5230190914
2022-01-01,105.8484626507
2022-02-01,105.9791002404
2022-03-01,105.9293158215
2022-04-01,105.9586065186
2022-05-01,106.3587891027
2022-06-01,106.7688421803
2022-07-01,107.1867262447
2022-08-01,107.2272962315
2022-09-01,107.3822219854
2022-10-01,108.1841426067
2022-11-01,108.6929345
2022-12-01,108.8183638985
2023-01-01,109.1769300283
2023-02-01,108.6978542631
2023-03-01,108.6146018048
2023-04-01,108.814653807
2023-05-01,109.4397851125
2023-06-01,109.6785939521
2023-07-01,110.0817023
2023-08-01,110.5068387692
2023-09-01,110.4402808648
2023-10-01,110.4294305341
2023-11-01,110.425657
2023-12-01,111.1234908771
2024-01-01,111.211057339
2024-02-01,111.4333483
2024-03-01,111.9415594867
2024-04-01,112.5796609356
2024-05-01,113.2887760178
2024-06-01,113.8950297207
2024-07-01,114.4340097621
2024-08-01,116.2453141249
2024-09-01,117.2677729503
2024-10-01,119.1963834221
2024-11-01,120.9228200185
2024-12-01,122.2067817654
2025-01-01,124.5946035939
2025-02-01,126.1682781397
2025-03-01,128.3229906062
2025-04-01,129.4723145346
2025-05-01,134.1979678085
2025-06-01,141.1856738876
2025-07-01,142.8784655293
2025-08-01,144.317850196
2025-09-01,144.6087707379
2025-10-01,145.6966617596
2025-11-01,146.2737922415
2025-12-01,147.1364641781
2026-01-01,149.0611704407
2026-02-01,148.1374102915
2026-03-01,147.634733725
2026-04-01,147.835077361
2026-05-01,150.984104813
2026-06-01,154.2239063416
2026-07-01,149.9203193574
