date,CPI level,category
2018-01-01,102.5913441312,Alimentos y bebidas consumidos fuera del hogar
2018-02-01,103.0673103515,Alimentos y bebidas consumidos fuera del hogar
2018-03-01,103.2463080521,Alimentos y bebidas consumidos fuera del hogar
2018-04-01,103.4715599737,Alimentos y bebidas consumidos fuera del hogar
2018-05-01,103.6093822253,Alimentos y bebidas consumidos fuera del hogar
2018-06-01,103.7912624798,Alimentos y bebidas consumidos fuera del hogar
2018-07-01,103.8471592486,Alimentos y bebidas consumidos fuera del hogar
2018-08-01,104.1239376066,Alimentos y bebidas consumidos fuera del hogar
2018-09-01,104.166007795,Alimentos y bebidas consumidos fuera del hogar
2018-10-01,104.2745787095,Alimentos y bebidas consumidos fuera del hogar
2018-11-01,104.4926108646,Alimentos y bebidas consumidos fuera del hogar
2018-12-01,104.9484265179,Alimentos y bebidas consumidos fuera del hogar
2019-01-01,105.2593850315,Alimentos y bebidas consumidos fuera del hogar
2019-02-01,105.1746071199,Alimentos y bebidas consumidos fuera del hogar
2019-03-01,105.1665880793,Alimentos y bebidas consumidos fuera del hogar
2019-04-01,105.3319575577,Alimentos y bebidas consumidos fuera del hogar
2019-05-01,105.3814375607,Alimentos y bebidas consumidos fuera del hogar
2019-06-01,105.4306306783,Alimentos y bebidas consumidos fuera del hogar
2019-07-01,105.5203418135,Alimentos y bebidas consumidos fuera del hogar
2019-08-01,105.596923066,Alimentos y bebidas consumidos fuera del hogar
2019-09-01,105.7527984965,Alimentos y bebidas consumidos fuera del hogar
2019-10-01,106.1028990217,Alimentos y bebidas consumidos fuera del hogar
2019-11-01,108.09625827,Alimentos y bebidas consumidos fuera del hogar
2019-12-01,108.0888038953,Alimentos y bebidas consumidos fuera del hogar
2020-01-01,108.1312151057,Alimentos y bebidas consumidos fuera del hogar
2020-02-01,108.242234235,Alimentos y bebidas consumidos fuera del hogar
2020-03-01,108.2064180255,Alimentos y bebidas consumidos fuera del hogar
2020-04-01,108.2115990837,Alimentos y bebidas consumidos fuera del hogar
2020-05-01,108.198510309,Alimentos y bebidas consumidos fuera del hogar
2020-06-01,108.0448764443,Alimentos y bebidas consumidos fuera del hogar
2020-07-01,108.1560077292,Alimentos y bebidas consumidos fuera del hogar
2020-08-01,108.4403226102,Alimentos y bebidas consumidos fuera del hogar
2020-09-01,108.523319329,Alimentos y bebidas consumidos fuera del hogar
2020-10-01,108.9653407494,Alimentos y bebidas consumidos fuera del hogar
2020-11-01,109.287978624,Alimentos y bebidas consumidos fuera del hogar
2020-12-01,109.4690693453,Alimentos y bebidas consumidos fuera del hogar
2021-01-01,109.2893014775,Alimentos y bebidas consumidos fuera del hogar
2021-02-01,109.1981471882,Alimentos y bebidas consumidos fuera del hogar
2021-03-01,109.3060698421,Alimentos y bebidas consumidos fuera del hogar
2021-04-01,109.5199986764,Alimentos y bebidas consumidos fuera del hogar
2021-05-01,109.5390958847,Alimentos y bebidas consumidos fuera del hogar
2021-06-01,109.623247744,Alimentos y bebidas consumidos fuera del hogar
2021-07-01,109.7395315,Alimentos y bebidas consumidos fuera del hogar
2021-08-01,109.8243841975,Alimentos y bebidas consumidos fuera del hogar
2021-09-01,109.9015957724,Alimentos y bebidas consumidos fuera del hogar
2021-10-01,109.9739361032,Alimentos y bebidas consumidos fuera del hogar
2021-11-01,110.0969196689,Alimentos y bebidas consumidos fuera del hogar
2021-12-01,110.1931844942,Alimentos y bebidas consumidos fuera del hogar
2022-01-01,110.2317765432,Alimentos y bebidas consumidos fuera del hogar
2022-02-01,110.2425477935,Alimentos y bebidas consumidos fuera del hogar
2022-03-01,110.4825891215,Alimentos y bebidas consumidos fuera del hogar
2022-04-01,110.5151924479,Alimentos y bebidas consumidos fuera del hogar
2022-05-01,110.6669067581,Alimentos y bebidas consumidos fuera del hogar
2022-06-01,110.933399032,Alimentos y bebidas consumidos fuera del hogar
2022-07-01,111.2590068371,Alimentos y bebidas consumidos fuera del hogar
2022-08-01,111.3926679196,Alimentos y bebidas consumidos fuera del hogar
2022-09-01,111.4612941008,Alimentos y bebidas consumidos fuera del hogar
2022-10-01,111.812412873,Alimentos y bebidas consumidos fuera del hogar
2022-11-01,112.7660729,Alimentos y bebidas consumidos fuera del hogar
2022-12-01,112.8660386987,Alimentos y bebidas consumidos fuera del hogar
2023-01-01,113.2474216236,Alimentos y bebidas consumidos fuera del hogar
2023-02-01,113.4468557596,Alimentos y bebidas consumidos fuera del hogar
